Date,US_Crude_Inventory_Mbbl
2015-01-01,363.976
2015-02-01,396.37625
2015-03-01,427.918
2015-04-01,453.7675
2015-05-01,449.21139999999997
2015-06-01,434.5695
2015-07-01,429.1554
2015-08-01,422.22775
2015-09-01,424.51025000000004
2015-10-01,441.81419999999997
2015-11-01,455.78575
2015-12-01,454.8725
2016-01-01,458.44220000000007
2016-02-01,476.63075
2016-03-01,497.084
2016-04-01,506.5096
2016-05-01,507.015
2016-06-01,499.6725
2016-07-01,491.22700000000003
2016-08-01,492.9075
2016-09-01,475.2098
2016-10-01,473.35125
2016-11-01,488.11699999999996
2016-12-01,483.89459999999997
2017-01-01,487.90575
2017-02-01,516.3945
2017-03-01,531.8358000000001
2017-04-01,530.5485
2017-05-01,517.38725
2017-06-01,509.195
2017-07-01,487.819
2017-08-01,465.71675000000005
2017-09-01,467.875
2017-10-01,457.737
2017-11-01,456.74875
2017-12-01,436.785
2018-01-01,415.52774999999997
2018-02-01,421.5815
2018-03-01,428.08419999999995
2018-04-01,430.47425
2018-05-01,434.68899999999996
2018-06-01,426.0138
2018-07-01,407.50225
2018-08-01,407.4446
2018-09-01,397.571
2018-10-01,418.79575
2018-11-01,442.8798
2018-12-01,441.56
2019-01-01,441.9405
2019-02-01,449.606
2019-03-01,446.65860000000004
2019-04-01,460.726
2019-05-01,475.03419999999994
2019-06-01,476.47525
2019-07-01,449.1135
2019-08-01,433.5898
2019-09-01,418.8435
2019-10-01,433.10575
2019-11-01,449.0422
2019-12-01,441.5015
2020-01-01,430.86800000000005
2020-02-01,443.20125
2020-03-01,457.51825
2020-04-01,508.56475
2020-05-01,531.3916
2020-06-01,537.8985
2020-07-01,530.4028000000001
2020-08-01,508.17499999999995
2020-09-01,495.82775000000004
2020-10-01,489.39979999999997
2020-11-01,488.736
2020-12-01,499.0825
2021-01-01,481.309
2021-02-01,469.60450000000003
2021-03-01,500.937
2021-04-01,492.3954
2021-05-01,483.58025
2021-06-01,463.02625
2021-07-01,439.5132
2021-08-01,433.07
2021-09-01,418.4545
2021-10-01,427.86400000000003
2021-11-01,433.80949999999996
2021-12-01,424.5146
2022-01-01,414.611
2022-02-01,412.8355
2022-03-01,412.7045
2022-04-01,415.60159999999996
2022-05-01,419.892
2022-06-01,417.3415
2022-07-01,425.2204
2022-08-01,424.2455
2022-09-01,429.47200000000004
2022-10-01,438.3035
2022-11-01,431.71475
2022-12-01,419.17179999999996
2023-01-01,447.2145
2023-02-01,471.43825
2023-03-01,476.6798
2023-04-01,464.26599999999996
2023-05-01,461.25825
2023-06-01,459.09880000000004
2023-07-01,453.03475000000003
2023-08-01,435.439
2023-09-01,417.207
2023-10-01,421.75
2023-11-01,443.20849999999996
2023-12-01,439.4238
2024-01-01,426.226
2024-02-01,439.25225
2024-03-01,448.038
2024-04-01,457.9415
2024-05-01,457.20079999999996
2024-06-01,456.498
2024-07-01,438.714
2024-08-01,425.90420000000006
2024-09-01,416.65725
2024-10-01,423.706
2024-11-01,427.904
2024-12-01,418.8365
2025-01-01,415.5802
2025-02-01,431.07225
2025-03-01,436.40250000000003
2025-04-01,442.17925
2025-05-01,439.9572
2025-06-01,421.8535
2025-07-01,423.46675
2025-08-01,422.0086
2025-09-01,417.82675
2025-10-01,420.8008
2025-11-01,426.542
2025-12-01,424.4545
2026-01-01,422.321
2026-02-01,430.93174999999997
2026-03-01,452.54575
2026-04-01,463.43625
2026-05-01,446.0938
2026-06-01,416.3
2026-07-01,408.8384
2026-08-01,426.64875
2026-09-01,424.069
