Feature,Importance,Importance_Pct
WTI_3M_Avg,0.4094104146317054,41.6
WTI_Roll_Mean_3M,0.32167920023645746,32.7
WTI_Lag1,0.08480525382279508,8.6
WTI_YoY_Change,0.03956117908673251,4.0
WTI_6M_Avg,0.0276260137148469,2.8
WTI_Roll_Std_6M,0.020442699737099973,2.1
WTI_Roll_Mean_6M,0.018055111515644064,1.8
Oil_Gold_Ratio,0.011487523488113417,1.2
SP500,0.007046724198266622,0.7
USD_Index,0.006620236534755773,0.7
WTI_Roll_Std_12M,0.006606310890673469,0.7
WTI_Lag2,0.0049267471130242995,0.5
NaturalGas,0.0046849343773527055,0.5
WTI_Roll_Std_3M,0.0044120627852433985,0.4
WTI_MoM_Change,0.003680393987389909,0.4
CPI,0.0032188043293337842,0.3
Oil_SP500_Ratio,0.0031293982495710845,0.3
WTI_Lag3,0.002985795762529777,0.3
WTI_Brent_Spread,0.002069785285118364,0.2
NewsSentiment,0.0018541069599541395,0.2
