Feature,Importance,Importance_Pct
WTI_3M_Avg,0.45088255,45.6
WTI_Roll_Mean_3M,0.30919182,31.3
WTI_Lag1,0.063018784,6.4
WTI_Roll_Std_6M,0.046205565,4.7
WTI_YoY_Change,0.02966806,3.0
WTI_Roll_Mean_6M,0.021965168,2.2
CPI,0.013175038,1.3
WTI_6M_Avg,0.009956139,1.0
Oil_Gold_Ratio,0.009721358,1.0
Month,0.00510393,0.5
SP500,0.005030012,0.5
USD_Index,0.004759112,0.5
WTI_Roll_Std_3M,0.0028975548,0.3
WTI_Lag3,0.0028161732,0.3
NewsSentiment,0.0026781503,0.3
WTI_MoM_Change,0.0026688764,0.3
WTI_Brent_Spread,0.002508789,0.3
WTI_Lag6,0.0018884395,0.2
WTI_Lag12,0.0018825305,0.2
Oil_SP500_Ratio,0.0018034582,0.2
